PAYMENT,9839.64,170136,160296.36,0,0
PAYMENT,1864.28,21249,19384.72,0,0
TRANSFER,181,181,0,1,0
CASH_OUT,181,181,0,1,0
PAYMENT,11668.14,41554,29885.86,0,0
PAYMENT,7817.71,53860,46042.29,0,0
PAYMENT,7107.77,183195,176087.23,0,0
PAYMENT,7861.64,176087.23,168225.59,0,0
PAYMENT,4024.36,2671,0,0,0
DEBIT,5337.77,41720,36382.23,0,0
DEBIT,9644.94,4465,0,0,0
PAYMENT,3099.97,20771,17671.03,0,0
PAYMENT,2560.74,5070,2509.26,0,0
PAYMENT,11633.76,10127,0,0,0
PAYMENT,4098.78,503264,499165.22,0,0
CASH_OUT,229133.94,15325,0,0,0
PAYMENT,1563.82,450,0,0,0
PAYMENT,1157.86,21156,19998.14,0,0
PAYMENT,671.64,15123,14451.36,0,0
TRANSFER,215310.3,705,0,0,0
PAYMENT,1373.43,13854,12480.57,0,0
DEBIT,9302.79,11299,1996.21,0,0
DEBIT,1065.41,1817,751.59,0,0
PAYMENT,3876.41,67852,63975.59,0,0
TRANSFER,311685.89,10835,0,0,0
PAYMENT,6061.13,443,0,0,0
PAYMENT,9478.39,116494,107015.61,0,0
PAYMENT,8009.09,10968,2958.91,0,0
PAYMENT,8901.99,2958.91,0,0,0
PAYMENT,9920.52,0,0,0,0
PAYMENT,3448.92,0,0,0,0
PAYMENT,4206.84,0,0,0,0
PAYMENT,5885.56,0,0,0,0
PAYMENT,5307.88,0,0,0,0
PAYMENT,5031.22,0,0,0,0
PAYMENT,24213.67,0,0,0,0
PAYMENT,8603.42,253,0,0,0
PAYMENT,2791.42,300481,297689.58,0,0
PAYMENT,7413.54,297689.58,290276.03,0,0
PAYMENT,3295.19,233633,230337.81,0,0
PAYMENT,1684.81,297,0,0,0
DEBIT,5758.59,32604,26845.41,0,0
CASH_OUT,110414.71,26845.41,0,0,0
PAYMENT,7823.46,998,0,0,0
PAYMENT,5086.48,0,0,0,0
PAYMENT,5281.48,152019,146737.52,0,0
PAYMENT,13875.98,15818,1942.02,0,0
CASH_OUT,56953.9,1942.02,0,0,0
CASH_OUT,5346.89,0,0,0,0
